date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:18	86100/86100	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-15054%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/all.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/all.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:18	3700/3700	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-e74%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/map-job.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/map-job.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:19	79562/79562	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-136ca%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/map-upload.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/map-upload.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:21	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5865b5efe84ab-gzip%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.eot	psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.eot	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/css/bootstrap.min.css)
18:56:21	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-5865b5efe84ab%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.woff2	psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.html	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/css/bootstrap.min.css)
18:56:23	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5865b5efe84ab-gzip%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.eot?	psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regulard41d.eot	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/css/bootstrap.min.css)
18:56:25	23424/23424	---M--	200	added ('OK')	x-font/woff	etag:%225b80-5865b5efe84ab%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.woff	psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.woff	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/css/bootstrap.min.css)
18:56:27	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%225cb0f899-1a8c2%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.svg	psdconverthtml.com/live/yourjob/yourjob-v1/fonts/glyphicons-halflings-regular.svg	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/css/bootstrap.min.css)
18:56:30	77271/77271	---MCZ	200	added ('OK')	text/css	etag:W/%225cb0f8b5-12dd7%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/style.css	psdconverthtml.com/live/yourjob/yourjob-v1/style.css	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/index.html)
18:56:38	1342/1342	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cb0f8b5-53e%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/js/map-normal.js	psdconverthtml.com/live/yourjob/yourjob-v1/js/map-normal.js	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/employer-profile.html)
18:56:42	62908/62908	---M--	200	added ('OK')	image/jpeg	etag:%225cb0f899-f5bc%22	http://psdconverthtml.com/live/yourjob/yourjob-v1/upload/job_07.jpg	psdconverthtml.com/live/yourjob/yourjob-v1/upload/job_07.jpg	(from http://psdconverthtml.com/live/yourjob/yourjob-v1/job-search.html)
